Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Industry PE
Modi's Navnirman,543539,MODIS,INE0L0L01012,Realty,"Residential, Commercial Projects",345.00,23.12,4.31,674.74,63.79,8.82,-2.35,1.16,0.00,23.56,29.57,0.04,0.32,189.31,-37.52,38.05,-77.32,0.00,-6.41,0.00,63.56,,,,27.71
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,430.05,13.32,3.64,3023.65,64.75,3.93,0.13,1.20,-0.02,28.37,29.26,0.17,-32.49,339.72,13.83,261.48,1673.30,0.00,0.00,0.00,-0.41,15.18,3.51,-13.38,26.22
Nazara Technolo.,543280,NAZARA,INE418L01047,Entertainment,Digital Entertainment,290.25,11.12,3.10,10741.38,35.46,13.30,1.32,2.16,-1.46,30.49,27.23,0.06,0.06,1828.98,1819.59,983.55,375.12,0.00,16.41,55.94,162.47,134.68,65.26,-4.27,20.23
Nila Spaces,542231,NILASPACES,INE00S901012,Realty,"Residential, Commercial Projects",12.94,17.85,2.98,509.30,61.90,0.05,0.02,0.00,0.00,18.23,31.32,0.46,0.17,185.02,-31.52,64.87,-28.37,0.00,0.00,0.00,105.92,69.50,38.70,,27.71
NILE,530129,NILE,INE445D01013,Minerals & Mining,Industrial Minerals,1816.20,9.86,1.72,544.65,50.39,0.16,0.00,0.28,0.01,19.03,25.28,0.04,0.28,1040.51,28.54,77.74,177.00,0.00,-0.04,0.00,34.84,32.04,,,19.99
Onward Technolog,517536,ONWARDTEC,INE229A01017,IT - Services,IT Enabled Services,270.12,13.19,2.42,615.76,39.07,9.83,0.44,3.54,0.64,19.54,22.95,0.16,0.22,543.85,13.72,63.09,160.77,-0.02,-6.14,0.00,59.68,35.75,18.08,25.42,26.07
Oriana Power Ltd,,ORIANA,INE0OUT01019,Electrical Equipment,Other Electrical Equipment,1962.15,17.23,6.27,3986.93,57.98,0.32,-0.54,0.32,-0.05,48.35,42.31,0.50,0.09,1408.80,1838.38,343.85,317.36,0.01,,6.39,90.43,29.59,,,28.49
Oswal Agro Mills,500317,OSWALAGRO,INE142A01012,Commercial Services & Supplies,Trading & Distributors,45.89,7.08,0.64,613.52,51.88,0.03,0.03,0.09,-0.01,12.62,16.29,0.00,0.09,117.73,-93.93,103.33,-98.70,0.00,9.97,0.00,80.81,28.35,22.53,21.54,26.22
PC Jeweller,534809,PCJEWELLER,INE785M01021,Consumer Durables,"Gems, Jewellery And Watches",8.92,13.18,0.90,8661.80,38.49,13.28,6.97,4.75,-2.33,12.68,6.55,0.22,0.26,3124.56,-55.27,810.09,-1097.60,1.30,-16.04,0.00,45.55,34.15,-5.56,-1.23,18.38
Radhika Jeweltec,540125,RADHIKAJWE,INE583V01021,Consumer Durables,"Gems, Jewellery And Watches",57.22,9.05,1.70,676.61,57.68,0.14,0.14,0.00,0.00,20.76,25.07,0.15,0.25,639.14,-86.27,102.99,-50.06,0.00,-6.05,0.00,35.93,27.05,40.91,,18.38
S Chand & Compan,540497,SCHAND,INE807K01035,Printing & Publication,Printing & Publication,172.19,7.62,0.58,596.61,46.99,4.47,-0.20,2.04,0.34,7.66,10.20,0.13,0.25,798.75,8.29,116.50,483.31,0.00,-0.15,0.00,30.23,76.00,19.97,-36.96,7.88
Sai Silks,543989,KALAMANDIR,INE438K01021,Retailing,Speciality Retail,102.66,11.18,1.25,1575.83,60.97,0.56,-0.91,8.55,0.34,11.78,13.96,0.29,0.86,1653.67,17.93,220.45,494.68,0.00,,0.00,5.96,33.88,-4.76,,38.14
Saint-Gob. Sekur,515043,,INE068B01017,Auto Components,Auto Components & Equipments,107.63,21.41,4.03,980.62,75.00,0.00,0.00,0.00,0.00,19.96,26.06,0.01,0.89,242.99,36.34,60.00,136.74,0.00,0.00,0.00,24.09,39.40,22.27,21.19,27.85
Saksoft,590051,SAKSOFT,INE667G01023,IT - Software,Computers - Software & Consulting,144.01,13.88,2.45,1900.26,66.71,2.40,0.17,0.00,-0.14,19.58,25.50,0.06,0.74,1007.19,17.41,193.41,492.91,0.03,-0.15,0.00,18.51,24.38,20.60,22.11,20.98
Sambhv Steel,544430,SAMBHV,INE12NJ01018,Industrial Products,Iron & Steel Products,107.42,22.11,3.00,3167.15,56.15,1.52,-0.15,3.09,0.41,18.47,19.07,0.36,0.66,2413.24,-33.63,235.08,585.68,0.00,,0.00,-45.55,-21.65,,,22.45
Sathlokhar Sys.,,SSEGL,INE0RFP01011,Construction,Civil Construction,380.60,14.21,4.58,988.74,62.71,0.28,0.16,1.65,0.12,40.17,53.42,0.18,0.05,506.48,-34.85,74.08,-82.73,0.00,,0.00,59.10,9.13,,,17.61
Sharda Cropchem,538666,SHARDACROP,INE221J01015,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,947.90,12.55,2.73,8548.17,74.82,4.60,0.40,9.70,-0.25,24.16,30.37,0.00,0.46,5267.59,58.53,857.27,2195.99,0.00,0.00,0.00,27.39,24.87,18.51,14.45,24.02
Shriram Properti,543419,SHRIRAMPPS,INE217L01019,Realty,"Residential, Commercial Projects",90.90,15.44,1.06,1556.25,27.89,6.05,2.49,2.49,-0.04,7.16,8.04,0.42,0.99,1267.41,13.56,164.24,489.03,0.00,-0.11,0.00,15.37,26.39,21.81,,27.71
String Metaverse,534535,,INE958L01034,IT - Services,IT Enabled Services,8.77,9.96,3.08,1021.11,78.52,0.00,0.00,0.00,0.00,41.61,41.56,0.02,0.03,1069.11,-41.28,103.82,,-3.27,,0.00,218.13,73.53,91.76,,26.07
Sunshield Chem.,530845,,INE199E01014,Chemicals & Petrochemicals,Specialty Chemicals,861.10,25.59,3.00,757.32,66.53,8.46,0.00,0.01,0.00,17.02,19.89,0.00,0.87,440.91,-192.82,44.58,146.65,0.51,4.17,0.00,29.43,15.87,47.39,42.36,29.36
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.85,19.62,3.61,1490.94,50.57,0.21,-0.05,0.00,0.00,20.20,26.84,0.00,0.35,486.57,97.40,101.59,102.49,0.00,0.00,0.00,56.22,17.04,28.19,19.75,31.18
TGV Sraac,507753,,INE284B01028,Chemicals & Petrochemicals,Commodity Chemicals,106.95,8.67,0.88,1145.32,64.23,0.16,-0.15,0.11,0.09,10.67,12.67,0.27,-0.30,1950.24,-185.75,202.06,1294.33,0.16,1.05,0.00,-28.55,35.59,6.47,15.39,21.01
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,510.45,15.38,3.31,6853.10,71.12,2.17,1.03,8.14,-0.07,21.55,35.22,0.39,0.22,6962.66,82.66,841.01,576.50,0.00,,0.00,-5.23,-36.67,,,35.69
Vikram Solar,544488,VIKRAMSOLR,INE078V01014,Electrical Equipment,Other Electrical Equipment,200.63,15.31,2.29,7262.89,63.01,2.94,1.12,4.80,0.09,21.52,30.53,0.20,0.07,4802.25,154.94,813.14,1477.03,-0.01,-30.07,6.77,180.73,-4.27,,,28.49
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,977.80,21.31,10.92,10201.34,74.32,1.85,0.15,0.09,-0.05,68.89,83.61,0.16,0.20,3331.42,63.36,652.90,825.26,0.00,-0.19,0.00,105.31,189.54,101.66,,28.49
Websol Energy,517498,WEBELSOLAR,INE855C01023,Electrical Equipment,Other Electrical Equipment,111.11,15.84,7.65,4816.85,29.72,4.12,-1.28,0.32,0.01,66.94,63.18,0.21,0.10,1049.44,-541.66,376.83,445.49,2.01,2.96,89.39,145.67,86.30,36.93,36.23,28.49
Zaggle Prepaid,543985,ZAGGLE,INE07K301024,IT - Services,IT Enabled Services,217.42,22.04,2.09,2928.15,44.15,4.06,-3.55,7.40,-0.35,10.04,13.49,0.04,0.28,1852.81,-30.34,183.25,-64.76,0.02,,0.55,58.53,-60.85,,,26.07
Zuari Agro Chem.,534742,ZUARI,INE840M01016,Fertilizers & Agrochemicals,Fertilizers,221.15,3.13,0.45,929.42,65.21,2.84,0.13,0.09,0.00,15.06,16.38,0.31,0.09,3199.72,2.82,488.58,1854.07,0.00,-0.07,26.54,33.72,31.03,20.07,18.39,16.30
