Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Sales growth 10Years,Sales growth 7Years,Sales growth 5Years
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,405.35,22.51,3.11,14075.90,51.01,8.74,-0.18,10.30,0.67,14.94,17.74,0.36,1.39,10945.56,31.66,997.22,2905.75,0.00,0.01,0.00,16.16,16.06,23.95,17.21,13.99,15.93,18.70
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining,Industrial Minerals,1801.40,31.80,8.61,101573.04,61.65,2.26,0.37,1.71,-0.14,35.13,36.21,0.47,0.61,13680.60,-52.49,4430.65,7127.03,-2.08,-4.10,5.17,46.99,543.00,81.58,68.23,43.22,61.72,122.42
Lumax Auto Tech.,532796,LUMAXTECH,INE872H01027,Auto Components,Auto Components & Equipments,1591.00,42.18,10.28,10835.56,55.98,8.38,0.38,16.81,0.29,20.25,19.02,1.05,1.18,4586.27,94.46,498.28,878.70,0.00,0.00,0.00,35.63,24.69,19.62,19.11,15.85,20.03,26.09
M B Agro Prod.,,MBAPL,INE900L01010,Fertilizers & Agrochemicals,Fertilizers,544.50,31.77,8.68,4771.29,74.76,0.46,0.27,0.00,0.00,31.50,19.40,1.56,4.86,1866.98,-29.01,206.43,-25.47,0.00,0.48,0.00,6.53,49.33,44.61,32.20,39.97,50.42,58.81
Macpower CNC,,MACPOWER,INE155Z01011,Industrial Manufacturing,Industrial Products,1184.20,36.03,7.63,1184.70,73.17,1.11,0.08,0.52,0.17,19.85,27.07,0.01,1.32,312.90,-760.73,45.26,44.68,0.00,0.06,0.00,27.21,57.17,20.64,16.18,15.18,13.93,26.14
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1407.60,35.92,12.10,8376.48,54.32,2.89,0.18,3.00,-0.61,40.32,35.45,0.51,0.36,1357.70,-327.06,353.51,73.06,0.00,-2.94,0.00,98.58,71.64,41.07,43.12,26.31,44.66,46.29
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,220.26,27.73,3.71,9991.29,43.87,16.76,8.63,6.57,0.66,16.77,20.03,0.12,1.02,2803.29,123.97,497.92,952.33,0.00,0.02,0.00,22.98,23.25,39.75,12.11,12.65,16.28,18.25
Mazagon Dock,543237,MAZDOCK,INE249Z01020,Industrial Manufacturing,Ship Building & Allied Services,2470.20,38.58,10.21,99659.08,81.22,1.73,-0.07,5.09,-0.28,29.20,35.98,0.05,1.20,13006.31,-210.69,3308.36,1224.05,0.00,-3.61,0.00,32.19,33.51,27.21,-8.14,12.25,15.96,26.30
Metro Brands,543426,METROBRAND,INE317I01021,Consumer Durables,Footwear,1074.00,71.21,14.69,29278.58,71.80,3.77,-0.04,7.58,0.07,22.21,20.18,0.79,14.96,2863.63,61.60,662.19,2361.77,-0.03,-2.41,0.00,4.66,43.15,4.35,-12.57,13.56,13.00,29.05
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,326.95,14.28,2.67,2587.24,53.85,1.47,0.03,0.15,0.00,20.49,27.68,0.04,0.23,372.17,1464.81,251.14,60.30,0.44,3.19,5.47,53.28,38.60,41.28,75.85,21.51,25.38,29.40
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,3313.90,63.45,29.67,84488.82,0.00,26.07,5.43,54.35,-4.81,56.27,71.37,0.00,0.59,2302.00,61.60,1690.69,4959.69,0.00,0.00,0.00,107.53,48.69,35.90,31.02,25.64,33.79,42.59
Narayana Hrudaya,539551,NH,INE410P01011,Healthcare Services,Hospital,1940.00,46.58,8.74,39672.72,63.27,9.98,-1.12,9.14,1.23,20.87,15.36,1.29,3.73,7896.04,156.82,1263.51,5243.15,0.00,-0.58,0.00,12.49,155.30,46.34,42.33,17.21,15.61,25.04
NESCO,505355,NESCO,INE317F01035,Commercial Services & Supplies,Diversified Commercial Services,1269.70,21.87,3.20,8929.76,68.54,4.63,-0.02,3.84,0.06,15.82,21.12,0.04,0.83,872.45,221.33,529.13,1315.28,0.00,0.00,0.00,26.47,10.75,11.78,14.89,14.17,12.49,11.14
Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1413.60,78.96,51.34,272557.78,62.76,9.74,-0.07,12.40,0.30,73.24,84.21,0.08,6.03,23154.60,109.77,4647.18,17132.13,0.00,0.00,0.00,13.09,10.63,11.54,14.57,10.97,10.80,11.64
