Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",269.05,16.12,4.50,11067.55,70.39,6.14,-0.23,2.99,0.07,32.74,29.34,0.17,0.32,2998.22,20.50,820.38,2453.37,0.00,-4.02,0.00,50.09,68.66,37.13,36.30,25.52,44.35,20.69
Cartrade Tech,543333,CARTRADE,INE290S01011,Retailing,E-Retail/ E-Commerce,1789.00,37.59,3.45,8571.46,0.00,60.15,-4.43,12.07,2.10,9.69,11.84,0.06,0.42,779.27,62.79,308.81,555.26,0.00,0.00,0.00,87.57,-28.66,10.30,7.67,28.91,25.56,18.09
Carysil,524091,CARYSIL,INE482D01024,Consumer Durables,Household Appliances,1116.55,31.94,5.22,3163.16,41.33,1.59,0.04,11.74,0.39,17.45,17.77,0.45,1.35,923.95,-406.54,150.73,349.46,0.00,-2.58,0.00,21.21,18.90,26.70,23.51,15.87,24.43,20.42
Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1398.00,36.62,4.92,60137.84,0.00,23.32,-11.21,44.42,-9.25,20.64,23.50,0.08,1.18,16402.70,71.56,2327.40,5648.30,0.00,-30.16,0.00,26.91,25.84,20.53,18.70,26.96,28.60,23.82
Ksolves India,543599,KSOLVES,INE0D6I01023,IT - Software,Computers - Software & Consulting,286.50,20.60,23.51,681.39,58.92,0.08,-0.04,0.01,0.00,131.53,127.40,0.20,2.06,160.69,23.31,44.73,128.50,-0.02,-0.02,0.00,9.94,33.24,,,27.72,46.40,62.29
Persistent Systems,533179,PERSISTENT,INE262H01021,IT - Software,Computers - Software & Consulting,5038.00,41.13,10.14,79460.06,30.29,22.11,-0.68,30.47,0.67,27.30,34.43,0.06,1.49,14748.45,68.48,2572.92,6026.91,0.00,-0.97,0.00,26.35,35.06,29.27,22.40,20.88,28.63,23.50
Safari Inds.,523025,SAFARI,INE429E01023,Consumer Durables,Plastic Products - Consumer,1515.30,44.22,6.66,7418.95,44.70,10.81,-1.51,28.30,1.74,16.22,19.48,0.10,4.28,2047.02,180.03,224.95,513.87,0.00,-2.53,0.00,9.12,56.85,27.79,33.69,19.09,44.23,19.81
Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components,Auto Components & Equipments,594.65,54.02,6.33,36985.80,28.02,23.70,-0.19,41.46,0.72,12.19,15.78,0.06,2.56,4123.67,120.59,926.78,2882.11,0.00,-4.98,0.00,18.71,22.73,-15.69,25.78,18.99,24.12,28.85
Varun Beverages,540180,VBL,INE200M01039,Beverages,Other Beverages,530.70,56.39,9.17,179448.56,59.44,19.51,-0.80,14.35,0.79,16.21,19.71,0.13,2.35,22692.63,-1473.39,4372.01,12302.64,0.00,-4.45,0.00,22.31,49.01,36.31,34.22,18.08,27.44,22.95
