Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Average return on capital employed 3Years,Average return on capital employed 5Years
Newgen Software,540900,NEWGEN,INE619B01017,IT - Software,Computers - Software & Consulting,435.90,18.68,3.49,6200.09,53.52,14.48,-2.86,8.85,-0.83,20.15,25.76,0.02,0.79,1574.40,27.25,436.19,1007.37,0.00,-1.64,0.00,23.08,21.05,17.94,24.60,26.80,26.21
Persistent Systems,533179,PERSISTENT,INE262H01021,IT - Software,Computers - Software & Consulting,5038.00,41.13,10.14,79460.06,30.29,22.11,-0.68,30.47,0.67,27.30,34.43,0.06,1.49,14748.45,68.48,2572.92,6026.91,0.00,-0.97,0.00,26.35,35.06,29.27,22.40,31.35,30.13
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,9398.50,52.97,11.78,141549.52,61.50,18.21,3.39,7.95,-3.18,24.48,34.32,0.02,1.76,28883.79,116.94,3856.11,8854.57,0.00,-4.70,0.00,29.82,24.93,25.95,29.71,31.79,28.71
Saksoft,590051,SAKSOFT,INE667G01023,IT - Software,Computers - Software & Consulting,144.01,13.88,2.45,1900.26,66.71,2.40,0.17,0.00,-0.14,19.58,25.50,0.06,0.74,1007.19,17.41,193.41,492.91,0.03,-0.15,0.00,18.51,24.38,20.60,22.11,25.75,26.45
Shakti Pumps,531431,SHAKTIPUMP,INE908D01010,Industrial Products,"Compressors, Pumps & Diesel Engines",511.15,24.49,3.70,6307.49,50.35,4.83,-0.51,4.97,-1.33,17.97,23.73,0.29,0.20,2697.61,-143.83,418.22,249.90,0.01,-5.79,0.00,112.10,24.95,26.23,69.53,36.81,28.43
Shilchar Tech.,531201,SHILCTECH,INE024F01011,Electrical Equipment,Other Electrical Equipment,4082.00,29.50,9.51,4665.71,62.12,2.55,-0.20,1.91,0.42,37.76,50.72,0.00,0.55,651.94,54.44,212.44,340.83,0.00,-3.73,0.00,53.92,95.42,53.78,32.97,65.56,54.84
Sika Interplant,523606,SIKA,INE438E01032,Aerospace & Defense,Aerospace & Defense,935.00,54.40,12.74,1982.18,71.72,3.21,0.07,0.04,0.00,26.08,35.24,0.00,0.87,211.23,92.22,49.24,86.70,0.00,0.00,0.00,62.19,25.57,36.02,35.55,29.95,27.18
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,18377.00,99.16,26.49,166342.20,73.15,6.59,-0.15,12.89,-0.02,31.46,36.79,0.24,3.46,9837.74,398.63,2499.19,5448.72,0.00,0.00,1.76,28.70,43.47,30.23,26.30,35.80,33.62
Swaraj Engines,500407,SWARAJENG,INE277A01016,Industrial Products,"Compressors, Pumps & Diesel Engines",3741.20,22.81,9.30,4535.35,52.11,2.82,-0.33,9.09,-0.65,43.79,58.72,0.00,1.60,2007.13,45.83,267.37,668.66,-0.01,-0.02,0.00,14.28,16.63,13.40,14.77,55.52,54.28
TD Power Systems,533553,TDPOWERSYS,INE419M01027,Electrical Equipment,Heavy Electrical Equipment,1301.80,85.19,18.97,20340.96,26.87,26.69,2.33,22.24,-0.95,24.72,33.43,0.02,2.39,1856.23,1368.38,328.02,352.06,0.00,-31.63,0.00,35.53,43.10,84.91,40.36,29.72,25.51
Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",381.50,65.04,32.27,3854.80,51.00,1.32,-0.70,0.51,0.02,196.63,42.56,0.11,0.57,698.80,326.17,86.88,43.94,0.00,-23.93,0.00,113.58,81.11,22.69,16.18,41.20,24.71
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,692.75,60.95,15.23,22022.18,55.84,20.81,-1.57,16.52,1.92,27.14,35.86,0.02,2.21,2181.10,156.14,491.40,1197.88,0.00,0.00,0.00,27.62,27.35,20.73,13.71,38.51,32.96
Volt.Transform.,532757,VOLTAMP,INE540H01012,Electrical Equipment,Heavy Electrical Equipment,9213.00,30.50,5.20,9313.31,30.00,22.82,1.04,31.66,0.28,18.07,24.08,0.00,1.93,2153.69,74.90,407.25,808.72,0.00,-20.00,0.00,15.82,27.26,20.49,23.74,28.25,25.72
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,977.80,21.31,10.92,10201.34,74.32,1.85,0.15,0.09,-0.05,68.89,83.61,0.16,0.20,3331.42,63.36,652.90,825.26,0.00,-0.19,0.00,105.31,189.54,101.66,,88.61,74.36
